usearea_id,area_name,country,description,mbr_tr_lat,mbr_tr_lon,mbr_bl_lat,mbr_bl_lon,angle_id,prime_merid
218,USA MARYLAND ENTIRE STATE ,WORLD,USA MARYLAND ENTIRE STATE ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
219,USA MASSACHUSETTS ISLANDS ,WORLD,USA MASSACHUSETTS ISLANDS ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
220,USA MASSACHUSETTS EXC. ISLANDS,WORLD,USA MASSACHUSETTS EXC. ISLANDS,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
221,MIDDLE EAST ,WORLD,MIDDLE EAST ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
222,USA MICHIGAN BET 045-45/043-55,WORLD,USA MICHIGAN BET 045-45/043-55,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
223,USA MICHIGAN CO'S NOF 045-45N.,WORLD,USA MICHIGAN CO'S NOF 045-45N.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
224,USA MICHIGAN CO'S SOF 043-55N ,WORLD,USA MICHIGAN CO'S SOF 043-55N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
225,USA MINNESOTA BT 045-30/047-10,WORLD,USA MINNESOTA BT 045-30/047-10,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
226,USA MINNESOTA CO'S NOF 047-10N,WORLD,USA MINNESOTA CO'S NOF 047-10N,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
227,USA MINNESOTA SOUTH OF 045-30N,WORLD,USA MINNESOTA SOUTH OF 045-30N,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
228,USA MONTANA COS 47-50 TO 46-40,WORLD,USA MONTANA COS 47-50 TO 46-40,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
229,USA MONTANA (1 ZONE) ,WORLD,USA MONTANA (1 ZONE) ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
230,USA MONTANA CO'S N OF 47-50N ,WORLD,USA MONTANA CO'S N OF 47-50N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
231,USA MONTANA CO'S S OF 46D 40MN,WORLD,USA MONTANA CO'S S OF 46D 40MN,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
232,NORTHERN BLACK SEA ,WORLD,NORTHERN BLACK SEA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
233,USA NORTH CAROLINA (1 ZONE) ,WORLD,USA NORTH CAROLINA (1 ZONE) ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
234,USA NORTH DAKOTA N OF 047-25N.,WORLD,USA NORTH DAKOTA N OF 047-25N.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
235,USA NORTH DAKOTA SOF 047-25N. ,WORLD,USA NORTH DAKOTA SOF 047-25N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
236,USA NEBRASKA ENTIRE STATE ,WORLD,USA NEBRASKA ENTIRE STATE ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
237,OFFSHORE NEWFOUNDLAND ,WORLD,OFFSHORE NEWFOUNDLAND ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
238,N.HEMISPHERE REGIONAL ,WORLD,N.HEMISPHERE REGIONAL ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
