datum_name,description,spheroid_name,merid_id,origin_name,origin_lat,origin_long,angle_id,origin_height,height_id,usearea_id,ref_datum,source,visibility,release
USHAYF10,NOT SPECIFIED ,HAYF1910,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USHELM ,NOT SPECIFIED ,HELM1906,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USINT24 ,NOT SPECIFIED ,INT24 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USINT67 ,NOT SPECIFIED ,INT67 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USKRAS40,NOT SPECIFIED ,KRAS1940,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USNWL10D,NOT SPECIFIED ,NWL10D ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USNWL9D ,NOT SPECIFIED ,NWL9D ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USSPHERE,NOT SPECIFIED ,SPHERE ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
WGS72BE ,BROADCAST EPHEMERIS ,NWL10D ,1 ,GEOCENTRE ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 15/11/82. RAW BROADCAST EPHEMERIS DOPPLER SATELLITE SYSTEM. ,SURVEY,PUBLIC 
WGS72DOD,WGS 72 (DoD) ,NWL10D ,1 ,GEOCENTRE ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 15/7/83. "TRUE" WGS-72. (See also WGS72BE). ,SURVEY,PUBLIC 
WGS84 ,WGS 84 ,WGS84 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RAS - 5/12/88 ,SURVEY,PUBLIC 
XIAN80 ,XIAN 1980 ,GRS80 ,1 ,XIAN OBSERVATORY ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 18/8/83. PAPER BY ZHOU JIANG WEN I.G.G. WUCHANG. ,SURVEY,PUBLIC 
YEMHSL ,YEMEN HSL (LOCAL) ,INT24 ,1 ,HSL 1 ,14.7734444 ,43.0065833 ,1 ,0.0 ,1 ,1,,SJM 5/3/84 REF;TELE CONV L.WILLIAMS OF HSL. Huntings local datum in North Yemen,SURVEY,PUBLIC 
YOFF2000,YOFF2000 ,CLA80IGN,1 ,SENEGAL ,0.0 ,0.0 ,1 ,0.0 ,1 ,34,,PNM 19/12/89 ELF TOPO CARTO ,SURVEY,PUBLIC 
VENUS,VENUS MGN, VENUS, 1, EVE, 0.0, 0.0, 1, 0.0, 1, 1, , JPL, SURVEY, PUBLIC
